ID,Name,Latitude,Longitude,Elevation
251649,Shoulder Of Mutton Hill,51.0380093,-0.9489883,248
262682,Gibbet Hill,51.1154519,-0.7158438,N/A
262683,Hurt Hill,51.114637,-0.7063613,N/A
262686,Blackdown,51.0582,-0.689595,280
262687,Marley Heights,51.0616146,-0.7292917,N/A
262689,Iron Down,51.0566,-0.776606,N/A
262796,Pen Hill,50.958,-0.845315,215
262797,Beacon Hill,50.9591,-0.8519501,242
262798,Harting Down,50.9588,-0.870458,229
262832,Stoner Hill,51.0269194,-0.9662266,235
262834,Warren Corner,51.0455757,-0.964593,246
262835,Torberry Hill,50.9769452,-0.8921381,156
262836,Hemner Hill,50.97,-0.900683,165
262837,Tower Hill,50.9579435,-0.8831227,210
262839,Green Hill,51.0577288,-0.7424674,N/A
262840,Bexley Hill,51.0178191,-0.7010975,N/A
262841,Fridays Hill,51.0597719,-0.7170509,N/A
262842,Ridge Hill,51.059,-0.70363,N/A
271111,Whitmoor Hill,50.8705,-1.56229,49
271114,Boltons Bench,50.8715709,-1.568902,50
271183,Telegraph Hill,51.0508421,-1.2553259,165
271187,Saint Catherine's Hill,51.0463148,-1.3107596,99
271346,Giant's Grave,51.3677,-1.76308,250
271350,Martinsell Hill,51.3735342,-1.7451335,289
271352,Huish Down,51.3744,-1.77737,261
271353,Golden Ball,51.3755,-1.81412,268
328695,Toot Hill,50.9616,-1.45713,83
692318,Bulkeley Hill,53.0920384,-2.7095436,222
692347,Bickerton Hill,53.0759008,-2.7459062,N/A
692352,Larkton Hill,53.071107,-2.7513654,212
692358,The Wrekin,52.6692733,-2.5514501,407
1130939,Great Hangman,51.2146732,-4.004699,318
1130940,Little Hangman,51.2142206,-4.027334,N/A
2433344,Tennyson Down,50.6667372,-1.5416331,147
2433345,Shanklin Down,50.6183065,-1.1986988,235
2933836,St Martins Down,50.618501,-1.2078813,219
2933909,N/A,50.6139961,-1.2437175,226
7619151,Hampton Ridge,50.9211052,-1.7380767,106
7908151,Castle Hill,50.9494007,-1.7587629,63
7910741,Giants Grave,50.9336518,-1.7630492,65
8088274,Walbury Hill,51.3524635,-1.4650483,297
8870212,Ben Nevis,56.7968364,-5.0035078,1345
8870272,Càrn Mòr Dearg,56.8052539,-4.9866573,1220
8870336,Ben More,56.3860093,-4.5400634,1174
14384776,East Hill,50.6407378,-2.0510894,103
15651173,Weavers Down,51.0683891,-0.8412337,156
16346725,Pen y Fan,51.8840224,-3.4367501,886
16347060,Cribyn,51.881827,-3.419493,795
20697410,St Martha's Hill,51.2246569,-0.5293643,N/A
20697411,Pewley Hill,51.2323453,-0.5625011,N/A
20950099,Waun-y-Llyn,53.11334,-3.0701433,289
21743375,Doon Hill,56.1711313,-4.3765271,N/A
23006415,Butter Hill,51.2360497,-3.7940695,302
25255570,Silver How,54.4507273,-3.043019,394
25328916,Green Hill,51.0005784,-1.2433808,129
25453202,Stob Dearg,56.6468537,-4.8987627,1021
25453224,Càrn Dearg Meadhonach,56.8097631,-4.9893613,1180
25697071,Ben Lomond,56.1903623,-4.6332874,974
25697072,Sgor nam Fiannaidh,56.6793935,-5.0371437,967
25697073,Stob Coire Leith,56.6813846,-5.0227966,938
25697075,Ben Lui,56.3969764,-4.810569,1130
25706521,Ptarmigan,56.1843024,-4.6470112,731
25713486,Beinn a' Chleibh,56.3902442,-4.8356421,916
26559741,Mill Hill,51.3976179,-0.1499311,N/A
26817783,Little Solsbury Hill,51.4100777,-2.3342785,191
26820853,Knowle Hill,50.9621104,-1.2877631,60
26844349,Winters Hill,50.9521761,-1.2482051,70
26891935,Beacon Hill,51.120506,-0.7628597,N/A
26902997,Raymeadow,52.0106623,-1.9442598,N/A
26902999,N/A,51.9979299,-1.8797174,N/A
26903002,Burhill,52.0254407,-1.8762781,172
26903029,Oat Hill,51.999753,-1.8613068,280
27140458,Old Winchester Hill,50.9808962,-1.0887924,197
27269271,Castle Ring,52.7131369,-1.9358107,242
27514037,The Old Pike,53.9699597,-1.8451653,N/A
27514043,Beamsley Beacon,53.9679135,-1.8506943,N/A
28844715,N/A,54.0812068,-1.6865548,298
29018477,Ill Bell,54.4619561,-2.8708086,757
29047328,Sallows,54.4281186,-2.8700435,515.4
29077130,Little Whernside,54.1942962,-1.9589042,604.7
29133498,Kinder Scout,53.384418,-1.8723364,636
29169321,Windmill Hill,50.9402288,-0.9820894,194
29180380,Windmill Down,50.9397943,-1.0800951,100
29180430,Broadhalfpenny Down,50.9395056,-1.0437848,158
29196185,Garn Fawr,52.0083022,-5.0673859,213
29196190,Manorowen Hill,51.9832737,-5.0190091,N/A
29208451,Craig-y-garn,52.9766359,-4.2193984,363
29209379,Moel Ddu,52.9762135,-4.1168792,553
29209467,Mynydd Gorllwyn,52.9684957,-4.1340109,397
29216885,Yr Arddu,52.9957841,-4.0458088,389
29216978,Moelwyn Bach,52.9742179,-3.9965737,710
29216997,Corstorphine Hill,55.9509457,-3.2714871,162
29217769,Moel Goedog,52.8721976,-4.0616284,367
29217772,Moel Y Gerddi,52.8639269,-4.0521909,381
29227216,Pen-Y-Garn,52.6775419,-4.032791,460
29229518,Banc Melyn,52.0408024,-4.1205513,N/A
29229520,Mynydd Llanybyther,52.0335906,-4.1335064,402
29229675,Mynydd Pencarreg,52.0690076,-4.079866,N/A
29229748,Carreg Winau,52.0526973,-4.0990612,N/A
29233097,Mynydd Bwlch-Y-Groes,52.0068395,-3.6492005,442
29233425,Mynydd Llansadwrn,51.9970262,-3.9127908,N/A
29233684,Mynydd Llanfihangel-rhos-y-corn,51.9981429,-4.1835655,356
29266745,Moelfre,51.9982338,-4.4396241,335
29266758,Mynydd Llanllwni,52.0122656,-4.1849706,369
29266759,Pen Llwyn-uchel,52.0276371,-4.1622171,383
29266880,Little Knoll,51.1394124,-2.2763292,256
29267161,Butser Hill,50.9780183,-0.9806293,270
29267196,Esgair Ferchon,52.0674181,-3.8739497,N/A
29267713,Telegraph Hill,50.9289583,-0.8866452,162
29267749,Compton Down,50.9291688,-0.9117408,171
29268043,Dudwell Mountain,51.8676178,-5.0413978,N/A
29268044,Great Treffgarne Mountain,51.8791688,-4.9877258,N/A
29268045,Plumstone Mountain,51.8699385,-5.0277705,N/A
29269048,Hat Hill,50.916623,-0.7686939,156
29269186,The Trundle,50.8924976,-0.753767,206
29269855,Collier Law,54.7710438,-1.9763746,N/A
29270100,Bolt's Law,54.8037305,-2.079899,N/A
29270987,Mynydd Bwlch,51.9830254,-3.6566884,406
